image_id,pred_category_zero_based,pred_label,predicted_bbox_xywh,score,compared_gt_bbox_xywh,predicted_category_exists,signed_mean_bbox_diff_old_IDR,abs_mean_bbox_diff_audit,bbox_iou_audit,accepted_by_old_calc_IDR,accepted_by_abs_diff_audit,exact_bbox_and_category_match,old_IDR_false_accept
353,10,T11,"[746.7195434570312, 312.07318115234375, 278.29266357421875, 219.756103515625]",0.12124329,"[746.7195121951219, 312.0731707317073, 278.29268292682946, 219.75609756097555]",1,0.000000,0.000000,1.000000,1,1,1,0
353,9,T10,"[785.7439575195312, 80.36585235595703, 244.14630126953125, 207.56097412109375]",0.11121243,"[785.7439024390245, 80.36585365853658, 244.14634146341461, 207.56097560975604]",1,0.000000,0.000000,1.000000,1,1,1,0
354,17,S1,"[723.2380981445312, 2296.952392578125, 212.38092041015625, 165.238037109375]",0.13785586,"[723.2380952380954, 2296.9523809523807, 212.3809523809523, 165.23809523809496]",1,0.000000,0.000000,0.999999,1,1,1,0
354,16,L5,"[754.1904907226562, 2044.5714111328125, 279.04754638671875, 283.8094482421875]",0.13586128,"[754.1904761904761, 2044.5714285714284, 279.04761904761926, 283.80952380952385]",1,0.000000,0.000000,0.999999,1,1,1,0
354,15,L4,"[844.6666870117188, 1799.3333740234375, 300.47613525390625, 279.0474853515625]",0.13584715,"[844.6666666666665, 1799.3333333333333, 300.4761904761908, 279.04761904761904]",1,0.000000,0.000000,0.999999,1,1,1,0
354,14,L3,"[882.7619018554688, 1527.9046630859375, 293.33331298828125, 233.8096923828125]",0.13580573,"[882.7619047619046, 1527.904761904762, 293.3333333333335, 233.80952380952363]",1,0.000000,0.000000,0.999999,1,1,1,0
354,13,L2,"[870.8571166992188, 1244.5714111328125, 298.09527587890625, 217.142822265625]",0.13471293,"[870.8571428571431, 1244.5714285714284, 298.0952380952381, 217.1428571428571]",1,0.000000,0.000000,1.000000,1,1,1,0
354,10,T11,"[825.5609130859375, 475.48779296875, 266.09765625, 205.1219482421875]",0.13458875,"[825.5609756097562, 475.48780487804873, 266.09756097560955, 205.12195121951214]",1,0.000000,0.000000,1.000000,1,1,1,0
354,11,T12,"[845.0731811523438, 714.51220703125, 285.60968017578125, 219.756103515625]",0.13418466,"[845.0731707317074, 714.5121951219512, 285.60975609756076, 219.7560975609756]",1,0.000000,0.000000,1.000000,1,1,1,0
354,12,L1,"[854.1904907226562, 980.2857055664062, 283.80938720703125, 214.76202392578125]",0.13347143,"[854.1904761904761, 980.2857142857142, 283.80952380952385, 214.76190476190482]",1,0.000000,0.000000,0.999999,1,1,1,0
354,9,T10,"[786.5364990234375, 273.04876708984375, 268.53662109375, 190.48779296875]",0.12915614,"[786.5365853658537, 273.04878048780483, 268.5365853658535, 190.4878048780488]",1,0.000000,0.000000,0.999999,1,1,1,0
355,17,S1,"[602.4761962890625, 1890.5, 198.09521484375, 146.1903076171875]",0.13785577,"[602.4761904761904, 1890.5000000000002, 198.09523809523807, 146.19047619047615]",1,0.000000,0.000000,0.999999,1,1,1,0
355,16,L5,"[609.6190185546875, 1714.3094482421875, 240.952392578125, 198.0953369140625]",0.13726072,"[609.6190476190477, 1714.3095238095239, 240.95238095238074, 198.0952380952383]",1,0.000000,0.000000,0.999999,1,1,1,0
355,15,L4,"[597.7142944335938, 1457.1666259765625, 286.19049072265625, 198.09521484375]",0.13568228,"[597.7142857142858, 1457.1666666666667, 286.19047619047615, 198.09523809523807]",1,0.000000,0.000000,0.999999,1,1,1,0
355,14,L3,"[504.8571472167969, 1188.1190185546875, 307.6190490722656, 255.238037109375]",0.13562773,"[504.85714285714266, 1188.1190476190477, 307.6190476190477, 255.23809523809518]",1,0.000000,0.000000,1.000000,1,1,1,0
355,13,L2,"[388.19049072265625, 973.8333129882812, 307.61907958984375, 262.38092041015625]",0.13537638,"[388.19047619047615, 973.8333333333335, 307.6190476190477, 262.3809523809523]",1,0.000000,0.000000,1.000000,1,1,1,0
355,11,T12,"[158.34146118164062, 568.1707153320312, 288.0487365722656, 268.53656005859375]",0.13508132,"[158.34146341463418, 568.170731707317, 288.04878048780483, 268.5365853658536]",1,0.000000,0.000000,1.000000,1,1,1,0
355,12,L1,"[264.3809509277344, 766.6904907226562, 302.8571472167969, 267.14288330078125]",0.13448547,"[264.3809523809523, 766.6904761904763, 302.8571428571431, 267.1428571428572]",1,0.000000,0.000000,1.000000,1,1,1,0
356,17,S1,"[563.220947265625, 2023.54638671875, 228.6046142578125, 210.69775390625]",0.13784440,"[563.2209302325582, 2023.546511627907, 228.60465116279056, 210.6976744186045]",1,0.000000,0.000000,0.999999,1,1,1,0
356,12,L1,"[721.3604736328125, 784.0116577148438, 286.744140625, 235.58135986328125]",0.12399613,"[721.3604651162791, 784.0116279069767, 286.74418604651146, 235.5813953488373]",1,0.000000,0.000000,1.000000,1,1,1,0
356,10,T11,"[687.6395263671875, 278.1976623535156, 249.534912109375, 207.67440795898438]",0.12292892,"[687.6395348837208, 278.1976744186046, 249.53488372093034, 207.67441860465118]",1,0.000000,0.000000,1.000000,1,1,1,0
356,9,T10,"[655.0814208984375, 57.26744079589844, 268.13958740234375, 193.72093200683594]",0.12207245,"[655.0813953488372, 57.26744186046506, 268.1395348837209, 193.72093023255815]",1,0.000000,0.000000,1.000000,1,1,1,0
356,11,T12,"[701.593017578125, 517.7325439453125, 275.11627197265625, 223.95343017578125]",0.12203413,"[701.5930232558138, 517.7325581395348, 275.1162790697674, 223.95348837209303]",1,0.000000,0.000000,1.000000,1,1,1,0
356,16,L5,"[539.965087890625, 1821.2208251953125, 342.55810546875, 314.6512451171875]",0.10325565,"[539.9651162790697, 1821.220930232558, 342.55813953488405, 314.65116279069775]",1,0.000000,0.000000,0.999999,1,1,1,0
356,14,L3,"[749.2674560546875, 1339.8255615234375, 300.6976318359375, 235.581298828125]",0.10273699,"[749.2674418604652, 1339.8255813953488, 300.6976744186045, 235.58139534883708]",1,0.000000,0.000000,0.999999,1,1,1,0
356,13,L2,"[749.2674560546875, 1063.0814208984375, 296.0465087890625, 230.9302978515625]",0.10259949,"[749.2674418604652, 1063.081395348837, 296.04651162790697, 230.93023255813955]",1,0.000000,0.000000,0.999999,1,1,1,0
356,15,L4,"[681.8256225585938, 1602.6163330078125, 330.93023681640625, 270.4649658203125]",0.10258520,"[681.8255813953488, 1602.6162790697674, 330.9302325581398, 270.46511627906966]",1,0.000000,0.000000,0.999999,1,1,1,0
357,17,S1,"[721.7142944335938, 2031.6666259765625, 210.0, 177.1429443359375]",0.13785551,"[721.7142857142858, 2031.6666666666667, 210.0, 177.1428571428571]",1,0.000000,0.000000,0.999999,1,1,1,0
357,17,S1,"[786.0, 1784.047607421875, 319.5238037109375, 319.523681640625]",0.13274810,"[721.7142857142858, 2031.6666666666667, 210.0, 177.1428571428571]",1,17.250000,140.750000,0.081336,0,0,0,0
357,16,L5,"[940.7619018554688, 1524.5238037109375, 310.00006103515625, 305.2381591796875]",0.13075848,"[786.0, 1784.047619047619, 319.52380952380963, 319.52380952380986]",1,-32.250000,109.250000,0.039812,1,0,0,1
357,15,L4,"[981.238037109375, 1236.4285888671875, 276.666748046875, 238.5714111328125]",0.13067326,"[940.7619047619046, 1524.5238095238094, 310.0, 305.2380952380952]",1,-87.000000,107.500000,0.000000,1,0,0,1
357,14,L3,"[950.2857055664062, 943.5714111328125, 286.19049072265625, 245.7142333984375]",0.13063142,"[981.2380952380954, 1236.4285714285713, 276.6666666666665, 238.57142857142867]",1,-76.750000,85.250000,0.000000,1,0,0,1
357,13,L2,"[900.2857055664062, 672.1428833007812, 283.80950927734375, 248.09527587890625]",0.13011384,"[950.2857142857142, 943.5714285714286, 286.19047619047615, 245.71428571428567]",1,-80.250000,81.750000,0.000000,1,0,0,1
357,12,L1,"[856.270263671875, 435.270263671875, 266.7567138671875, 218.10809326171875]",0.12608564,"[900.2857142857142, 672.1428571428571, 283.80952380952385, 248.0952380952382]",1,-82.000000,82.000000,0.000000,1,0,0,1
357,11,T12,"[796.810791015625, 213.64865112304688, 258.648681640625, 204.59457397460938]",0.12524785,"[856.2702702702704, 435.2702702702702, 266.75675675675666, 218.10810810810813]",1,-76.000000,76.000000,0.000000,1,0,0,1
357,10,T11,"[750.8648681640625, 10.945945739746094, 255.9459228515625, 193.78378295898438]",0.09741190,"[796.8108108108108, 213.6486486486486, 258.64864864864876, 204.59459459459464]",1,-65.750000,65.750000,0.000000,1,0,0,1
358,0,T1,"[933.9302368164062, 475.2790832519531, 372.79071044921875, 282.0929870605469]",0.13669343,,0,,,,0,0,0,0
358,0,T1,"[996.7210083007812, 791.5581665039062, 354.18597412109375, 247.20928955078125]",0.13553627,,0,,,,0,0,0,0
358,0,T1,"[1047.8836669921875, 1117.1395263671875, 314.651123046875, 270.465087890625]",0.13051437,,0,,,,0,0,0,0
358,0,T1,"[996.7210083007812, 1440.395263671875, 333.25579833984375, 319.3023681640625]",0.12335359,,0,,,,0,0,0,0
358,0,T1,"[913.0000610351562, 1619.4649658203125, 223.95343017578125, 213.0233154296875]",0.05931452,,0,,,,0,0,0,0
358,7,T8,"[873.465087890625, 177.60464477539062, 337.906982421875, 284.4185791015625]",0.05171631,,0,,,,0,0,0,0
359,0,T1,"[684.7325439453125, 1315.3138427734375, 314.651123046875, 247.20947265625]",0.13776781,,0,,,,0,0,0,0
359,0,T1,"[661.476806640625, 1010.6627807617188, 319.30230712890625, 223.95343017578125]",0.13770741,,0,,,,0,0,0,0
359,0,T1,"[638.220947265625, 1615.3138427734375, 330.9302978515625, 300.69775390625]",0.13752720,,0,,,,0,0,0,0
359,0,T1,"[635.8953857421875, 719.965087890625, 321.6278076171875, 221.62786865234375]",0.13741973,,0,,,,0,0,0,0
359,0,T1,"[554.5, 1806.011474609375, 249.534912109375, 196.744140625]",0.13111605,,0,,,,0,0,0,0
359,0,T1,"[631.2442016601562, 452.52325439453125, 298.37213134765625, 209.99993896484375]",0.12481280,,0,,,,0,0,0,0
359,6,T7,"[616.6951293945312, 141.2073211669922, 324.63421630859375, 239.2682647705078]",0.05416169,,0,,,,0,0,0,0
360,0,T1,"[1014.833251953125, 637.6666870117188, 274.2857666015625, 231.42852783203125]",0.13728791,,0,,,,0,0,0,0
360,0,T1,"[905.3094482421875, 1811.4761962890625, 131.4285888671875, 208.09521484375]",0.13720427,,0,,,,0,0,0,0
360,0,T1,"[1055.3095703125, 894.8095092773438, 279.047607421875, 231.42852783203125]",0.13598491,,0,,,,0,0,0,0
360,0,T1,"[988.6428833007812, 1706.7142333984375, 274.28558349609375, 298.09521484375]",0.13593173,,0,,,,0,0,0,0
360,0,T1,"[1067.2142333984375, 1451.952392578125, 274.2857666015625, 260.0]",0.13429682,,0,,,,0,0,0,0
360,0,T1,"[1093.40478515625, 1187.66650390625, 252.8570556640625, 214.7618408203125]",0.13257259,,0,,,,0,0,0,0
360,10,T11,"[971.743896484375, 4.756097793579102, 224.634033203125, 161.21951293945312]",0.12650228,"[973.8913043478261, 199.26086956521746, 233.91304347826087, 177.39130434782604]",1,-55.500000,55.500000,0.000000,1,0,0,1
360,0,T1,"[989.108642578125, 410.13043212890625, 264.3477783203125, 210.0]",0.12544547,,0,,,,0,0,0,0
360,0,T1,"[973.8912963867188, 199.2608642578125, 233.91290283203125, 177.39129638671875]",0.07196292,,0,,,,0,0,0,0
361,17,S1,"[839.1190795898438, 2318.357421875, 233.80950927734375, 200.9521484375]",0.13784812,"[839.1190476190477, 2318.357142857143, 233.80952380952385, 200.95238095238074]",1,0.000000,0.000000,0.999998,1,1,1,0
361,16,L5,"[851.0238037109375, 2070.738037109375, 329.0477294921875, 281.428466796875]",0.13629143,"[851.0238095238096, 2070.7380952380954, 329.0476190476188, 281.42857142857156]",1,0.000000,0.000000,0.999999,1,1,1,0
361,15,L4,"[941.5000610351562, 1839.785888671875, 331.42864990234375, 243.333251953125]",0.13211188,"[941.5, 1839.7857142857142, 331.42857142857156, 243.33333333333348]",1,0.000000,0.000000,0.999998,1,1,1,0
361,9,T10,"[730.5244750976562, 158.41464233398438, 302.68280029296875, 222.19509887695312]",0.12196989,"[730.5243902439025, 158.41463414634146, 302.682926829268, 222.19512195121948]",1,0.000000,0.000000,0.999999,1,1,1,0
361,11,T12,"[796.3780517578125, 646.219482421875, 310.0, 244.1463623046875]",0.12060999,"[796.3780487804878, 646.2195121951219, 310.0000000000001, 244.14634146341461]",1,0.000000,0.000000,1.000000,1,1,1,0
361,10,T11,"[759.792724609375, 399.8780517578125, 297.8048095703125, 222.1951904296875]",0.11911620,"[759.7926829268293, 399.8780487804878, 297.8048780487803, 222.19512195121945]",1,0.000000,0.000000,0.999999,1,1,1,0
361,14,L3,"[941.5000610351562, 1525.5, 331.42864990234375, 229.047607421875]",0.11699945,"[941.5, 1525.5, 331.42857142857156, 229.04761904761904]",1,0.000000,0.000000,0.999999,1,1,1,0
361,12,L1,"[839.1190795898438, 915.9762573242188, 326.66668701171875, 262.38092041015625]",0.11056552,"[839.1190476190477, 915.9761904761904, 326.6666666666665, 262.3809523809523]",1,0.000000,0.000000,0.999999,1,1,1,0
361,13,L2,"[884.357177734375, 1201.6904296875, 348.09521484375, 262.3809814453125]",0.06511076,"[884.3571428571431, 1201.6904761904761, 348.0952380952381, 262.3809523809523]",1,0.000000,0.000000,1.000000,1,1,1,0
362,17,S1,"[939.0, 2350.5, 270.465087890625, 103.720947265625]",0.13785590,"[939.0000000000002, 2350.5, 270.46511627906966, 103.7209302325582]",1,0.000000,0.000000,1.000000,1,1,1,0
362,17,S1,"[911.0929565429688, 2076.081298828125, 314.65118408203125, 216.9765625]",0.11168936,"[939.0000000000002, 2350.5, 270.46511627906966, 103.7209302325582]",1,-36.250000,114.750000,0.000000,1,0,0,1
362,16,L5,"[911.0929565429688, 1813.2906494140625, 323.95355224609375, 196.0465087890625]",0.10703339,"[911.0930232558142, 2076.0813953488373, 314.651162790698, 216.9767441860463]",1,-68.500000,73.000000,0.000000,1,0,0,1
362,15,L4,"[876.2092895507812, 1517.94189453125, 333.25579833984375, 223.9534912109375]",0.10703173,"[911.0930232558142, 1813.2906976744187, 323.95348837209303, 196.04651162790697]",1,-73.500000,92.000000,0.000000,1,0,0,1
362,14,L3,"[885.5116577148438, 1222.593017578125, 326.27911376953125, 247.2093505859375]",0.10703073,"[876.2093023255818, 1517.9418604651164, 333.2558139534881, 223.95348837209303]",1,-67.250000,83.750000,0.000000,1,0,0,1
362,13,L2,"[827.3720703125, 945.8488159179688, 323.953369140625, 265.81402587890625]",0.10701093,"[885.5116279069769, 1222.5930232558142, 326.27906976744225, 247.20930232558135]",1,-80.000000,89.000000,0.000000,1,0,0,1
362,12,L1,"[796.3170776367188, 687.0853881835938, 280.73175048828125, 256.34149169921875]",0.10691203,"[827.372093023256, 945.8488372093024, 323.95348837209303, 265.81395348837225]",1,-85.250000,85.250000,0.000000,1,0,0,1
362,11,T12,"[742.658447265625, 457.81707763671875, 285.60986328125, 227.07318115234375]",0.10678227,"[796.3170731707318, 687.0853658536585, 280.7317073170731, 256.3414634146342]",1,-77.000000,79.500000,0.000000,1,0,0,1
362,10,T11,"[718.268310546875, 238.30487060546875, 283.1707763671875, 205.12191772460938]",0.10379852,"[742.6585365853658, 457.81707317073165, 285.6097560975611, 227.07317073170725]",1,-66.750000,66.750000,0.000000,1,0,0,1
362,9,T10,"[712.75, 32.5, 265.0, 197.5]",0.09859578,"[718.2682926829269, 238.30487804878044, 283.1707317073169, 205.1219512195122]",1,-59.500000,59.500000,0.000000,1,0,0,1
363,17,S1,"[1184.5714111328125, 2363.619140625, 264.76171875, 260.0]",0.12240105,"[1182.1904761904761, 2589.8095238095234, 231.42857142857156, 158.09523809523807]",1,-22.250000,90.750000,0.079278,1,0,0,1
363,7,T8,"[822.2161254882812, 61.94594192504883, 204.59466552734375, 150.54052734375]",0.12168693,"[814.108108108108, 237.62162162162159, 220.81081081081072, 177.56756756756758]",1,-52.750000,56.750000,0.000000,1,0,0,1
363,12,L1,"[927.62158203125, 1043.0269775390625, 285.67578125, 253.2431640625]",0.12151722,"[994.0952380952381, 1275.5238095238094, 302.8571428571431, 274.2857142857142]",1,-84.250000,84.250000,0.030143,1,0,0,1
363,13,L2,"[994.09521484375, 1275.523681640625, 302.8570556640625, 274.285888671875]",0.12061299,"[1079.8095238095239, 1532.6666666666665, 312.3809523809523, 274.28571428571445]",1,-88.000000,88.000000,0.022556,1,0,0,1
363,9,T10,"[814.1080932617188, 429.51348876953125, 250.54046630859375, 191.08111572265625]",0.11868283,"[849.2432432432432, 624.108108108108, 247.83783783783758, 201.891891891892]",1,-59.250000,60.750000,0.000000,1,0,0,1
363,17,S1,"[1182.1904296875, 2589.8095703125, 231.4285888671875, 158.09521484375]",0.11838749,"[1182.1904761904761, 2589.8095238095234, 231.42857142857156, 158.09523809523807]",1,0.000000,0.000000,0.999999,1,1,1,0
363,11,T12,"[868.162109375, 829.5134887695312, 272.1622314453125, 215.40545654296875]",0.11673504,"[927.6216216216216, 1043.027027027027, 285.6756756756755, 253.2432432432431]",1,-81.000000,81.000000,0.003082,1,0,0,1
363,8,T9,"[814.1080932617188, 237.62161254882812, 220.81085205078125, 177.56756591796875]",0.11587607,"[814.108108108108, 429.5135135135135, 250.54054054054075, 191.0810810810811]",1,-59.000000,59.000000,0.000000,1,0,0,1
363,15,L4,"[1165.5238037109375, 1827.90478515625, 302.857177734375, 240.952392578125]",0.11567745,"[1194.095238095238, 2132.6666666666665, 279.04761904761926, 214.7619047619046]",1,-71.250000,95.750000,0.000000,1,0,0,1
363,16,L5,"[1194.09521484375, 2132.666748046875, 279.0474853515625, 214.76171875]",0.11510291,"[1184.5714285714284, 2363.6190476190473, 264.76190476190504, 260.0]",1,-63.000000,75.500000,0.000000,1,0,0,1
363,14,L3,"[1079.8095703125, 1532.66650390625, 312.380859375, 274.2857666015625]",0.11466581,"[1165.5238095238096, 1827.904761904762, 302.85714285714266, 240.95238095238074]",1,-84.250000,106.250000,0.000000,1,0,0,1
363,10,T11,"[849.2431640625, 624.1080322265625, 247.837890625, 201.8919677734375]",0.11109952,"[868.1621621621622, 829.5135135135134, 272.16216216216196, 215.40540540540553]",1,-65.750000,65.750000,0.000000,1,0,0,1
364,17,S1,"[758.2325439453125, 2365.755859375, 261.16278076171875, 154.8837890625]",0.13784954,"[758.2325581395348, 2365.755813953488, 261.1627906976746, 154.8837209302328]",1,0.000000,0.000000,0.999999,1,1,1,0
364,16,L5,"[786.1395263671875, 2128.546630859375, 314.651123046875, 298.3720703125]",0.11526184,"[786.1395348837209, 2128.546511627907, 314.651162790698, 298.37209302325573]",1,0.000000,0.000000,0.999999,1,1,1,0
364,15,L4,"[888.465087890625, 1909.94189453125, 321.6279296875, 254.18603515625]",0.11490841,"[888.4651162790697, 1909.9418604651162, 321.62790697674427, 254.1860465116281]",1,0.000000,0.000000,1.000000,1,1,1,0
364,14,L3,"[897.7674560546875, 1651.802490234375, 303.0234375, 212.325439453125]",0.11412394,"[897.7674418604652, 1651.8023255813953, 303.0232558139537, 212.32558139534876]",1,0.000000,0.000000,0.999998,1,1,1,0
364,13,L2,"[832.6511840820312, 1337.848876953125, 328.60467529296875, 268.1395263671875]",0.11275157,"[832.6511627906975, 1337.8488372093022, 328.604651162791, 268.1395348837209]",1,0.000000,0.000000,1.000000,1,1,1,0
364,10,T11,"[687.3023071289062, 559.9418334960938, 296.0465087890625, 223.9534912109375]",0.11015724,"[687.3023255813955, 559.9418604651162, 296.04651162790697, 223.95348837209303]",1,0.000000,0.000000,1.000000,1,1,1,0
364,12,L1,"[781.4883422851562, 1058.779052734375, 312.32562255859375, 270.465087890625]",0.10759845,"[781.4883720930234, 1058.7790697674418, 312.32558139534876, 270.46511627906966]",1,0.000000,0.000000,1.000000,1,1,1,0
364,11,T12,"[729.1627807617188, 790.1744995117188, 321.62786865234375, 263.48834228515625]",0.07732547,"[729.1627906976744, 790.1744186046511, 321.62790697674427, 263.48837209302326]",1,0.000000,0.000000,0.999999,1,1,1,0
365,17,S1,"[896.3636474609375, 2438.681884765625, 257.7274169921875, 188.181884765625]",0.13785589,"[896.3636363636363, 2438.6818181818185, 257.727272727273, 188.18181818181802]",1,0.000000,0.000000,0.999998,1,1,1,0
365,16,L5,"[991.8181762695312, 2245.499755859375, 369.09088134765625, 337.272705078125]",0.11820103,"[991.8181818181818, 2245.5, 369.09090909090946, 337.2727272727275]",1,0.000000,0.000000,0.999998,1,1,1,0
365,15,L4,"[1025.9090576171875, 1945.5, 341.8182373046875, 248.636474609375]",0.11818112,"[1025.9090909090912, 1945.5, 341.81818181818153, 248.6363636363635]",1,0.000000,0.000000,0.999999,1,1,1,0
365,14,L3,"[966.8181762695312, 1609.1363525390625, 378.18194580078125, 264.54541015625]",0.11817832,"[966.8181818181818, 1609.1363636363637, 378.18181818181847, 264.5454545454545]",1,0.000000,0.000000,0.999999,1,1,1,0
365,13,L2,"[887.2727661132812, 1281.863525390625, 384.99993896484375, 289.54541015625]",0.11816584,"[887.2727272727273, 1281.8636363636365, 385.0, 289.5454545454545]",1,-0.250000,0.250000,0.999999,1,1,0,1
365,12,L1,"[821.3636474609375, 995.4999389648438, 378.1817626953125, 280.45465087890625]",0.11810105,"[821.3636363636363, 995.5000000000001, 378.18181818181847, 280.4545454545454]",1,0.000000,0.000000,0.999999,1,1,1,0
365,11,T12,"[785.0, 728.1922607421875, 335.64111328125, 268.974365234375]",0.11784411,"[785.0000000000001, 728.1923076923077, 335.64102564102575, 268.974358974359]",1,0.000000,0.000000,0.999999,1,1,1,0
365,10,T11,"[756.7948608398438, 484.6025695800781, 315.12823486328125, 235.64102172851562]",0.11558398,"[756.7948717948717, 484.6025641025642, 315.1282051282054, 235.64102564102564]",1,0.000000,0.000000,1.000000,1,1,1,0
365,8,T9,"[739.2857055664062, 20.5, 275.71435546875, 201.42857360839844]",0.11121107,"[739.2857142857142, 20.500000000000192, 275.7142857142858, 201.4285714285714]",1,0.000000,0.000000,1.000000,1,1,1,0
365,9,T10,"[751.666748046875, 251.26922607421875, 271.5384521484375, 209.99996948242188]",0.10989987,"[751.6666666666666, 251.2692307692309, 271.53846153846166, 210.0]",1,-0.250000,0.250000,0.999999,1,1,0,1
366,17,S1,"[859.3095092773438, 1921.380859375, 231.42852783203125, 189.0478515625]",0.13785590,"[859.3095238095239, 1921.3809523809523, 231.42857142857156, 189.0476190476188]",1,0.000000,0.000000,0.999998,1,1,1,0
366,16,L5,"[928.3571166992188, 1738.047607421875, 331.42852783203125, 281.4285888671875]",0.13778798,"[928.3571428571431, 1738.047619047619, 331.4285714285711, 281.42857142857133]",1,0.000000,0.000000,1.000000,1,1,1,0
366,15,L4,"[975.9761962890625, 1447.5714111328125, 305.2381591796875, 226.6666259765625]",0.13778216,"[975.9761904761904, 1447.5714285714284, 305.2380952380954, 226.66666666666674]",1,0.000000,0.000000,0.999999,1,1,1,0
366,14,L3,"[930.738037109375, 1126.142822265625, 333.8094482421875, 250.4761962890625]",0.13778201,"[930.7380952380954, 1126.142857142857, 333.80952380952385, 250.47619047619037]",1,0.000000,0.000000,0.999999,1,1,1,0
