image_id,file_name,position,gt_category_zero_based,gt_label,pred_category_zero_based,pred_label,position_match_IDR2,predicted_bbox_xywh,compared_gt_bbox_xywh,predicted_category_exists,signed_mean_bbox_diff_old_IDR,abs_mean_bbox_diff_audit,bbox_iou_audit,accepted_by_old_calc_IDR,accepted_by_abs_diff_audit,old_IDR_false_accept
354,354.png,0,9,T10,9,T10,1,"[786.5365853658537, 273.04878048780483, 268.5365853658535, 190.4878048780488]","[786.5365853658537, 273.04878048780483, 268.5365853658535, 190.4878048780488]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,1,10,T11,10,T11,1,"[825.5609756097562, 475.48780487804873, 266.09756097560955, 205.12195121951214]","[825.5609756097562, 475.48780487804873, 266.09756097560955, 205.12195121951214]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,2,11,T12,11,T12,1,"[845.0731707317074, 714.5121951219512, 285.60975609756076, 219.7560975609756]","[845.0731707317074, 714.5121951219512, 285.60975609756076, 219.7560975609756]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,3,12,L1,12,L1,1,"[854.1904761904761, 980.2857142857142, 283.80952380952385, 214.76190476190482]","[854.1904761904761, 980.2857142857142, 283.80952380952385, 214.76190476190482]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,4,13,L2,13,L2,1,"[870.8571428571431, 1244.5714285714284, 298.0952380952381, 217.1428571428571]","[870.8571428571431, 1244.5714285714284, 298.0952380952381, 217.1428571428571]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,5,14,L3,14,L3,1,"[882.7619047619046, 1527.904761904762, 293.3333333333335, 233.80952380952363]","[882.7619047619046, 1527.904761904762, 293.3333333333335, 233.80952380952363]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,6,15,L4,15,L4,1,"[844.6666666666665, 1799.3333333333333, 300.4761904761908, 279.04761904761904]","[844.6666666666665, 1799.3333333333333, 300.4761904761908, 279.04761904761904]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,7,16,L5,16,L5,1,"[754.1904761904761, 2044.5714285714284, 279.04761904761926, 283.80952380952385]","[754.1904761904761, 2044.5714285714284, 279.04761904761926, 283.80952380952385]",1,0.000000,0.000000,1.000000,1,1,0
354,354.png,8,17,S1,17,S1,1,"[723.2380952380954, 2296.9523809523807, 212.3809523809523, 165.23809523809496]","[723.2380952380954, 2296.9523809523807, 212.3809523809523, 165.23809523809496]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,0,11,T12,11,T12,1,"[158.34146341463418, 568.170731707317, 288.04878048780483, 268.5365853658536]","[158.34146341463418, 568.170731707317, 288.04878048780483, 268.5365853658536]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,1,12,L1,12,L1,1,"[264.3809523809523, 766.6904761904763, 302.8571428571431, 267.1428571428572]","[264.3809523809523, 766.6904761904763, 302.8571428571431, 267.1428571428572]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,2,13,L2,13,L2,1,"[388.19047619047615, 973.8333333333335, 307.6190476190477, 262.3809523809523]","[388.19047619047615, 973.8333333333335, 307.6190476190477, 262.3809523809523]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,3,14,L3,14,L3,1,"[504.85714285714266, 1188.1190476190477, 307.6190476190477, 255.23809523809518]","[504.85714285714266, 1188.1190476190477, 307.6190476190477, 255.23809523809518]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,4,15,L4,15,L4,1,"[597.7142857142858, 1457.1666666666667, 286.19047619047615, 198.09523809523807]","[597.7142857142858, 1457.1666666666667, 286.19047619047615, 198.09523809523807]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,5,16,L5,16,L5,1,"[609.6190476190477, 1714.3095238095239, 240.95238095238074, 198.0952380952383]","[609.6190476190477, 1714.3095238095239, 240.95238095238074, 198.0952380952383]",1,0.000000,0.000000,1.000000,1,1,0
355,355.png,6,17,S1,17,S1,1,"[602.4761904761904, 1890.5000000000002, 198.09523809523807, 146.19047619047615]","[602.4761904761904, 1890.5000000000002, 198.09523809523807, 146.19047619047615]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,0,9,T10,9,T10,1,"[655.0813953488372, 57.26744186046506, 268.1395348837209, 193.72093023255815]","[655.0813953488372, 57.26744186046506, 268.1395348837209, 193.72093023255815]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,1,10,T11,10,T11,1,"[687.6395348837208, 278.1976744186046, 249.53488372093034, 207.67441860465118]","[687.6395348837208, 278.1976744186046, 249.53488372093034, 207.67441860465118]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,2,11,T12,11,T12,1,"[701.5930232558138, 517.7325581395348, 275.1162790697674, 223.95348837209303]","[701.5930232558138, 517.7325581395348, 275.1162790697674, 223.95348837209303]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,3,12,L1,12,L1,1,"[721.3604651162791, 784.0116279069767, 286.74418604651146, 235.5813953488373]","[721.3604651162791, 784.0116279069767, 286.74418604651146, 235.5813953488373]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,4,13,L2,13,L2,1,"[749.2674418604652, 1063.081395348837, 296.04651162790697, 230.93023255813955]","[749.2674418604652, 1063.081395348837, 296.04651162790697, 230.93023255813955]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,5,14,L3,14,L3,1,"[749.2674418604652, 1339.8255813953488, 300.6976744186045, 235.58139534883708]","[749.2674418604652, 1339.8255813953488, 300.6976744186045, 235.58139534883708]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,6,15,L4,15,L4,1,"[681.8255813953488, 1602.6162790697674, 330.9302325581398, 270.46511627906966]","[681.8255813953488, 1602.6162790697674, 330.9302325581398, 270.46511627906966]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,7,16,L5,16,L5,1,"[539.9651162790697, 1821.220930232558, 342.55813953488405, 314.65116279069775]","[539.9651162790697, 1821.220930232558, 342.55813953488405, 314.65116279069775]",1,0.000000,0.000000,1.000000,1,1,0
356,356.png,8,17,S1,17,S1,1,"[563.2209302325582, 2023.546511627907, 228.60465116279056, 210.6976744186045]","[563.2209302325582, 2023.546511627907, 228.60465116279056, 210.6976744186045]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,0,9,T10,9,T10,1,"[750.864864864865, 10.945945945945885, 255.94594594594582, 193.78378378378378]","[750.864864864865, 10.945945945945885, 255.94594594594582, 193.78378378378378]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,1,10,T11,10,T11,1,"[796.8108108108108, 213.6486486486486, 258.64864864864876, 204.59459459459464]","[796.8108108108108, 213.6486486486486, 258.64864864864876, 204.59459459459464]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,2,11,T12,11,T12,1,"[856.2702702702704, 435.2702702702702, 266.75675675675666, 218.10810810810813]","[856.2702702702704, 435.2702702702702, 266.75675675675666, 218.10810810810813]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,3,12,L1,12,L1,1,"[900.2857142857142, 672.1428571428571, 283.80952380952385, 248.0952380952382]","[900.2857142857142, 672.1428571428571, 283.80952380952385, 248.0952380952382]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,4,13,L2,13,L2,1,"[950.2857142857142, 943.5714285714286, 286.19047619047615, 245.71428571428567]","[950.2857142857142, 943.5714285714286, 286.19047619047615, 245.71428571428567]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,5,14,L3,14,L3,1,"[981.2380952380954, 1236.4285714285713, 276.6666666666665, 238.57142857142867]","[981.2380952380954, 1236.4285714285713, 276.6666666666665, 238.57142857142867]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,6,15,L4,15,L4,1,"[940.7619047619046, 1524.5238095238094, 310.0, 305.2380952380952]","[940.7619047619046, 1524.5238095238094, 310.0, 305.2380952380952]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,7,16,L5,16,L5,1,"[786.0, 1784.047619047619, 319.52380952380963, 319.52380952380986]","[786.0, 1784.047619047619, 319.52380952380963, 319.52380952380986]",1,0.000000,0.000000,1.000000,1,1,0
357,357.png,8,17,S1,17,S1,1,"[721.7142857142858, 2031.6666666666667, 210.0, 177.1428571428571]","[721.7142857142858, 2031.6666666666667, 210.0, 177.1428571428571]",1,0.000000,0.000000,1.000000,1,1,0
358,358.png,0,12,L1,7,T8,0,"[873.4651162790697, 177.60465116279065, 337.90697674418607, 284.4186046511628]",,0,,,,0,0,0
358,358.png,1,13,L2,8,T9,0,"[933.9302325581398, 475.2790697674418, 372.7906976744184, 282.09302325581405]",,0,,,,0,0,0
358,358.png,2,14,L3,9,T10,0,"[996.7209302325582, 791.5581395348837, 354.18604651162786, 247.20930232558123]",,0,,,,0,0,0
358,358.png,3,15,L4,10,T11,0,"[1047.8837209302328, 1117.139534883721, 314.6511627906975, 270.46511627906966]",,0,,,,0,0,0
358,358.png,4,16,L5,11,T12,0,"[996.7209302325582, 1440.3953488372092, 333.25581395348854, 319.3023255813953]",,0,,,,0,0,0
358,358.png,5,17,S1,12,L1,0,"[913.0, 1619.4651162790697, 223.95348837209303, 213.02325581395348]","[873.4651162790697, 177.60465116279065, 337.90697674418607, 284.4186046511628]",1,324.250000,416.750000,0.000000,0,0,0
359,359.png,0,11,T12,6,T7,0,"[616.6951219512194, 141.20731707317086, 324.6341463414635, 239.26829268292678]",,0,,,,0,0,0
359,359.png,1,12,L1,7,T8,0,"[631.2441860465119, 452.52325581395354, 298.37209302325573, 209.99999999999994]",,0,,,,0,0,0
359,359.png,2,13,L2,8,T9,0,"[635.8953488372094, 719.9651162790698, 321.62790697674427, 221.62790697674416]",,0,,,,0,0,0
359,359.png,3,14,L3,9,T10,0,"[661.4767441860467, 1010.6627906976744, 319.30232558139505, 223.95348837209326]",,0,,,,0,0,0
359,359.png,4,15,L4,10,T11,0,"[684.7325581395348, 1315.3139534883721, 314.651162790698, 247.20930232558158]",,0,,,,0,0,0
359,359.png,5,16,L5,11,T12,0,"[638.2209302325582, 1615.3139534883721, 330.9302325581393, 300.6976744186047]","[616.6951219512194, 141.20731707317086, 324.6341463414635, 239.26829268292678]",1,390.750000,390.750000,0.000000,0,0,0
359,359.png,6,17,S1,12,L1,0,"[554.5, 1806.0116279069769, 249.53488372093034, 196.7441860465117]","[631.2441860465119, 452.52325581395354, 298.37209302325573, 209.99999999999994]",1,303.750000,373.250000,0.000000,0,0,0
360,360.png,0,9,T10,0,T1,0,"[971.7439024390243, 4.7560975609756095, 224.63414634146363, 161.21951219512195]",,0,,,,0,0,0
360,360.png,1,10,T11,1,T2,0,"[973.8913043478261, 199.26086956521746, 233.91304347826087, 177.39130434782604]",,0,,,,0,0,0
360,360.png,2,11,T12,2,T3,0,"[989.1086956521739, 410.13043478260875, 264.3478260869566, 210.0]",,0,,,,0,0,0
360,360.png,3,12,L1,3,T4,0,"[1014.8333333333333, 637.6666666666665, 274.2857142857142, 231.42857142857144]",,0,,,,0,0,0
360,360.png,4,13,L2,4,T5,0,"[1055.3095238095236, 894.8095238095237, 279.04761904761926, 231.42857142857144]",,0,,,,0,0,0
360,360.png,5,14,L3,5,T6,0,"[1093.4047619047617, 1187.6666666666665, 252.85714285714312, 214.76190476190482]",,0,,,,0,0,0
360,360.png,6,15,L4,6,T7,0,"[1067.2142857142856, 1451.952380952381, 274.2857142857142, 260.0]",,0,,,,0,0,0
360,360.png,7,16,L5,7,T8,0,"[988.6428571428571, 1706.7142857142856, 274.2857142857142, 298.0952380952383]",,0,,,,0,0,0
360,360.png,8,17,S1,8,T9,0,"[905.3095238095236, 1811.4761904761904, 131.42857142857156, 208.09523809523807]",,0,,,,0,0,0
361,361.png,0,9,T10,9,T10,1,"[730.5243902439025, 158.41463414634146, 302.682926829268, 222.19512195121948]","[730.5243902439025, 158.41463414634146, 302.682926829268, 222.19512195121948]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,1,10,T11,10,T11,1,"[759.7926829268293, 399.8780487804878, 297.8048780487803, 222.19512195121945]","[759.7926829268293, 399.8780487804878, 297.8048780487803, 222.19512195121945]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,2,11,T12,11,T12,1,"[796.3780487804878, 646.2195121951219, 310.0000000000001, 244.14634146341461]","[796.3780487804878, 646.2195121951219, 310.0000000000001, 244.14634146341461]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,3,12,L1,12,L1,1,"[839.1190476190477, 915.9761904761904, 326.6666666666665, 262.3809523809523]","[839.1190476190477, 915.9761904761904, 326.6666666666665, 262.3809523809523]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,4,13,L2,13,L2,1,"[884.3571428571431, 1201.6904761904761, 348.0952380952381, 262.3809523809523]","[884.3571428571431, 1201.6904761904761, 348.0952380952381, 262.3809523809523]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,5,14,L3,14,L3,1,"[941.5, 1525.5, 331.42857142857156, 229.04761904761904]","[941.5, 1525.5, 331.42857142857156, 229.04761904761904]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,6,15,L4,15,L4,1,"[941.5, 1839.7857142857142, 331.42857142857156, 243.33333333333348]","[941.5, 1839.7857142857142, 331.42857142857156, 243.33333333333348]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,7,16,L5,16,L5,1,"[851.0238095238096, 2070.7380952380954, 329.0476190476188, 281.42857142857156]","[851.0238095238096, 2070.7380952380954, 329.0476190476188, 281.42857142857156]",1,0.000000,0.000000,1.000000,1,1,0
361,361.png,8,17,S1,17,S1,1,"[839.1190476190477, 2318.357142857143, 233.80952380952385, 200.95238095238074]","[839.1190476190477, 2318.357142857143, 233.80952380952385, 200.95238095238074]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,0,8,T9,8,T9,1,"[712.7500000000001, 32.5, 265.0, 197.5]","[712.7500000000001, 32.5, 265.0, 197.5]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,1,9,T10,9,T10,1,"[718.2682926829269, 238.30487804878044, 283.1707317073169, 205.1219512195122]","[718.2682926829269, 238.30487804878044, 283.1707317073169, 205.1219512195122]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,2,10,T11,10,T11,1,"[742.6585365853658, 457.81707317073165, 285.6097560975611, 227.07317073170725]","[742.6585365853658, 457.81707317073165, 285.6097560975611, 227.07317073170725]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,3,11,T12,11,T12,1,"[796.3170731707318, 687.0853658536585, 280.7317073170731, 256.3414634146342]","[796.3170731707318, 687.0853658536585, 280.7317073170731, 256.3414634146342]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,4,12,L1,12,L1,1,"[827.372093023256, 945.8488372093024, 323.95348837209303, 265.81395348837225]","[827.372093023256, 945.8488372093024, 323.95348837209303, 265.81395348837225]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,5,13,L2,13,L2,1,"[885.5116279069769, 1222.5930232558142, 326.27906976744225, 247.20930232558135]","[885.5116279069769, 1222.5930232558142, 326.27906976744225, 247.20930232558135]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,6,14,L3,14,L3,1,"[876.2093023255818, 1517.9418604651164, 333.2558139534881, 223.95348837209303]","[876.2093023255818, 1517.9418604651164, 333.2558139534881, 223.95348837209303]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,7,15,L4,15,L4,1,"[911.0930232558142, 1813.2906976744187, 323.95348837209303, 196.04651162790697]","[911.0930232558142, 1813.2906976744187, 323.95348837209303, 196.04651162790697]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,8,16,L5,16,L5,1,"[911.0930232558142, 2076.0813953488373, 314.651162790698, 216.9767441860463]","[911.0930232558142, 2076.0813953488373, 314.651162790698, 216.9767441860463]",1,0.000000,0.000000,1.000000,1,1,0
362,362.png,9,17,S1,17,S1,1,"[939.0000000000002, 2350.5, 270.46511627906966, 103.7209302325582]","[939.0000000000002, 2350.5, 270.46511627906966, 103.7209302325582]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,0,6,T7,6,T7,1,"[822.2162162162161, 61.945945945945894, 204.59459459459458, 150.54054054054052]","[822.2162162162161, 61.945945945945894, 204.59459459459458, 150.54054054054052]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,1,7,T8,7,T8,1,"[814.108108108108, 237.62162162162159, 220.81081081081072, 177.56756756756758]","[814.108108108108, 237.62162162162159, 220.81081081081072, 177.56756756756758]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,2,8,T9,8,T9,1,"[814.108108108108, 429.5135135135135, 250.54054054054075, 191.0810810810811]","[814.108108108108, 429.5135135135135, 250.54054054054075, 191.0810810810811]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,3,9,T10,9,T10,1,"[849.2432432432432, 624.108108108108, 247.83783783783758, 201.891891891892]","[849.2432432432432, 624.108108108108, 247.83783783783758, 201.891891891892]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,4,10,T11,10,T11,1,"[868.1621621621622, 829.5135135135134, 272.16216216216196, 215.40540540540553]","[868.1621621621622, 829.5135135135134, 272.16216216216196, 215.40540540540553]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,5,11,T12,11,T12,1,"[927.6216216216216, 1043.027027027027, 285.6756756756755, 253.2432432432431]","[927.6216216216216, 1043.027027027027, 285.6756756756755, 253.2432432432431]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,6,12,L1,12,L1,1,"[994.0952380952381, 1275.5238095238094, 302.8571428571431, 274.2857142857142]","[994.0952380952381, 1275.5238095238094, 302.8571428571431, 274.2857142857142]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,7,13,L2,13,L2,1,"[1079.8095238095239, 1532.6666666666665, 312.3809523809523, 274.28571428571445]","[1079.8095238095239, 1532.6666666666665, 312.3809523809523, 274.28571428571445]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,8,14,L3,14,L3,1,"[1165.5238095238096, 1827.904761904762, 302.85714285714266, 240.95238095238074]","[1165.5238095238096, 1827.904761904762, 302.85714285714266, 240.95238095238074]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,9,15,L4,15,L4,1,"[1194.095238095238, 2132.6666666666665, 279.04761904761926, 214.7619047619046]","[1194.095238095238, 2132.6666666666665, 279.04761904761926, 214.7619047619046]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,10,16,L5,16,L5,1,"[1184.5714285714284, 2363.6190476190473, 264.76190476190504, 260.0]","[1184.5714285714284, 2363.6190476190473, 264.76190476190504, 260.0]",1,0.000000,0.000000,1.000000,1,1,0
363,363.png,11,17,S1,17,S1,1,"[1182.1904761904761, 2589.8095238095234, 231.42857142857156, 158.09523809523807]","[1182.1904761904761, 2589.8095238095234, 231.42857142857156, 158.09523809523807]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,0,10,T11,10,T11,1,"[687.3023255813955, 559.9418604651162, 296.04651162790697, 223.95348837209303]","[687.3023255813955, 559.9418604651162, 296.04651162790697, 223.95348837209303]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,1,11,T12,11,T12,1,"[729.1627906976744, 790.1744186046511, 321.62790697674427, 263.48837209302326]","[729.1627906976744, 790.1744186046511, 321.62790697674427, 263.48837209302326]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,2,12,L1,12,L1,1,"[781.4883720930234, 1058.7790697674418, 312.32558139534876, 270.46511627906966]","[781.4883720930234, 1058.7790697674418, 312.32558139534876, 270.46511627906966]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,3,13,L2,13,L2,1,"[832.6511627906975, 1337.8488372093022, 328.604651162791, 268.1395348837209]","[832.6511627906975, 1337.8488372093022, 328.604651162791, 268.1395348837209]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,4,14,L3,14,L3,1,"[897.7674418604652, 1651.8023255813953, 303.0232558139537, 212.32558139534876]","[897.7674418604652, 1651.8023255813953, 303.0232558139537, 212.32558139534876]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,5,15,L4,15,L4,1,"[888.4651162790697, 1909.9418604651162, 321.62790697674427, 254.1860465116281]","[888.4651162790697, 1909.9418604651162, 321.62790697674427, 254.1860465116281]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,6,16,L5,16,L5,1,"[786.1395348837209, 2128.546511627907, 314.651162790698, 298.37209302325573]","[786.1395348837209, 2128.546511627907, 314.651162790698, 298.37209302325573]",1,0.000000,0.000000,1.000000,1,1,0
364,364.png,7,17,S1,17,S1,1,"[758.2325581395348, 2365.755813953488, 261.1627906976746, 154.8837209302328]","[758.2325581395348, 2365.755813953488, 261.1627906976746, 154.8837209302328]",1,0.000000,0.000000,1.000000,1,1,0
365,365.png,0,8,T9,8,T9,1,"[739.2857142857142, 20.500000000000192, 275.7142857142858, 201.4285714285714]","[739.2857142857142, 20.500000000000192, 275.7142857142858, 201.4285714285714]",1,0.000000,0.000000,1.000000,1,1,0
365,365.png,1,9,T10,9,T10,1,"[751.6666666666666, 251.2692307692309, 271.53846153846166, 210.0]","[751.6666666666666, 251.2692307692309, 271.53846153846166, 210.0]",1,0.000000,0.000000,1.000000,1,1,0
365,365.png,2,10,T11,10,T11,1,"[756.7948717948717, 484.6025641025642, 315.1282051282054, 235.64102564102564]","[756.7948717948717, 484.6025641025642, 315.1282051282054, 235.64102564102564]",1,0.000000,0.000000,1.000000,1,1,0
365,365.png,3,11,T12,11,T12,1,"[785.0000000000001, 728.1923076923077, 335.64102564102575, 268.974358974359]","[785.0000000000001, 728.1923076923077, 335.64102564102575, 268.974358974359]",1,0.000000,0.000000,1.000000,1,1,0
